Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SQL Essential Training,"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2022-06-09 20:39 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2019-07-15 06:08 UTC,N/A,false,N/A,
Human Resources: Payroll,"Payroll is a core function in HR. Complex tax and labor laws can make it seem daunting, but with the right tools and techniques, your payroll can function like a well-oiled machine. This course teaches HR professionals how to set up and administer a payroll system. HR consultant Gabriella Parente-Neubert covers 13 of the most common payroll topics, including classifying workers, understanding exempt vs. nonexempt employees, retaining records, and picking a payroll system. She also reviews details such as paying sick and vacation time, understanding the role of benefits in compensation, and processing final wages as the result of termination. Using her guidance, you'll be able to build a successful payroll system that ensures employees are paid correctly and punctually every time.",Course,2020-09-30 07:06 UTC,N/A,false,N/A,
Resume Makeover,"If you're looking for your dream job, you have to be prepared to act quickly. That means having an incredible, on-point, ""you had us at hello"" resume. Is yours in working order? This course helps anyone make over a lackluster resume into something truly special. Career strategist and nationally recognized resume writer Jenny Foss takes you through the very same process she uses at JobJenny.com to develop resumes for her own clients. She teaches you how to condense years of experience into a compelling marketing document, address resume gaps and job hops, and choose the right format for the final document. She also explains how the hiring process works (from the perspective of both the resume scanning software and the human reviewer), so that when you do apply for that incredible new job, you have a real shot at landing an interview.",Course,2019-05-07 18:20 UTC,N/A,false,N/A,
Advanced C Programming,"Once you've mastered the basics of programming in C, you can concentrate on writing more efficient, more functional code. In this course, Dan Gookin offers some tips to help you extend your C programming skills. Learn how to read and write main function arguments, build more useful variables, and work with arrays and structures. Plus, get tips on generating pointers, and take the practice challenges to test your learning along the way.",Course,2019-04-09 10:54 UTC,N/A,false,N/A,
Excel: Introduction to VBA,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Excel macros allow you to automate routine tasks. Although working with macros involves the Visual Basic for Applications (VBA) programming language, you don’t need to be a programmer to use it. In this course, Excel guru and Microsoft content developer Chris ""Smitty"" Smith provides a quick introduction to macros and VBA. He walks through the steps of recording a basic macro, then demonstrates how to edit macros, including testing and adjusting, and making recorded macros dynamic. Learn how to do more with Excel using macros.",Course,2020-12-30 17:05 UTC,N/A,false,N/A,
Python Data Analysis,"Data science is transforming the way that government and industry leaders look at both specific problems and the world at large. Curious about how data analysis actually works in practice? In this course, instructor Michele Vallisneri shows you how, explaining what it takes to get started with data science using Python.<br/><br/>Michele demonstrates how to set up your analysis environment and provides a refresher on the basics of working with data structures in Python. Then, he jumps into the big stuff: the power of arrays, indexing, and tables in NumPy and pandas—two popular third-party packages designed specifically for data analysis. He also walks through two sample big-data projects: using NumPy to identify and visualize weather patterns and using pandas to analyze the popularity of baby names over the last century. Challenges issued along the way help you practice what you've learned.<br/><br/>Note: This version of the course was updated to reflect recent changes in Python 3, NumPy, and pandas.",Course,2022-01-12 14:06 UTC,N/A,false,N/A,
Python: Working with Predictive Analytics,"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2021-09-19 19:03 UTC,N/A,false,N/A,
SOLIDWORKS 2016 New Features,"SOLIDWORKS covers all aspects of your product development process with a single, integrated workflow—enabling you to deliver innovative products to market faster. Now, with SOLIDWORKS 2016, you have more tools than ever before. Watch this course to get up to speed quickly with the latest version of the software and unlock the new parts, assemblies, and 2D drawing enhancements. Whether you're working with sheet metal, weldments, surfacing, or tool and die, these new application-specific features make it easy to deliver best-in-class designs.",Course,2019-04-18 12:08 UTC,N/A,false,N/A,
Excel Data Visualization: Designing Custom Visualizations,"Interested in using more than the built-in chart and graph tools to showcase your data in Excel? In this course—the second and final installment in the <i>Excel Data Visualization</i> series—instructor Chris Dutton steps through how to create unique, custom data visualizations in Excel. Since Chris covered the core data visualization capabilities of Excel in the previous installment of the series, he dives into some more sophisticated techniques here. As he moves through a series of hands-on demos, Chris covers everything from building dynamic dashboards to advanced maneuvers like value-based formatting and dynamic series selection.",Course,2019-07-14 09:46 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2022-08-05 06:03 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2021-10-05 19:34 UTC,N/A,false,N/A,
Python for Non-Programmers,"Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.<br><br>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.",Course,2022-10-14 13:51 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2021-01-15 08:44 UTC,N/A,false,N/A,
Python Object-Oriented Programming,"The object-oriented programming (OOP) features in Python make it easier to build programs of increasing complexity and modularity. In this course, you can learn how to apply core OOP principles like inheritance and composition along with some Python-specific features like “magic” methods and data classes to build programs that are extensible and efficient. Begin by brushing up on some object-oriented basics, and then use Python features like magic methods to make your classes integrate tightly with the Python language and data classes to dramatically reduce the amount of boilerplate code needed to build data-centric objects.",Course,2020-10-09 02:17 UTC,N/A,false,N/A,
SOLIDWORKS 2019 Essential Training,"SOLIDWORKS is 3D CAD software that can speed up your design process and make you more productive—enabling you to deliver innovative products to market faster. In this course, Gabriel Corbett teaches you the essential tools and techniques necessary to create parts, assemblies, and drawings efficiently in SOLIDWORKS.<br><br>

First, see how to create two-dimensional sketches that become the foundation for 3D objects. Next, look at extruding and revolving 3D features; creating complex objects using the Sweep, Loft, and Surface tools; and modifying parts. Find out how to create uniform holes with the Hole Wizard, and explore more advanced modeling techniques using equations, mirroring, and pattern tools. Then review best practices for putting parts together in assemblies. Finally, get tips for creating detailed drawings, complete with an itemized bill of materials.<br><br>

Along the way, Gabriel highlights new features from the 2019 release, including Sketch Ink, which enables pen and touch markup and model manipulation using gestures, and the updated project curve and slice tools.",Course,2019-04-28 20:37 UTC,N/A,false,N/A,
HR Recruiting Communication Strategies to Attract and Retain Top Talent,"The Great Reshuffle has changed everything about HR communications. In this course, Accredited Public Relations (APR) specialist David Oates shows you how to develop the communication strategies you need to counter the rise in employee turnover rates, navigate the dynamics of the remote workforce, and attract top talent from anywhere in the world. David explains how HR communications now concern the entire company, including the C-suite, and how other departments can become involved in keeping HR communications relevant and effective. He goes over ways employee communications change in the “new normal,” including frequency of communications and how to get more people involved. David covers several tactics for retaining your talent, then discusses ways to attract prospective talent, such as broadening your prospective talent scope, showcasing your “why,” and taking advantage of cross-promoting opportunities.",Course,2022-10-22 06:58 UTC,N/A,false,N/A,
Operational Excellence Foundations,"Understand and apply operational excellence to improve your organization's processes, products, and services for sustained competitive advantage.    
Dr. Richard Chua, consultant, professor and certified Lean Six Sigma Master Black Belt trainer, explains the fundamentals of operational excellence-from key concepts and tools to methodologies and implementation best practices. He explains lean principles and shows how to eliminate variation, operationalize the voice of the customer (VOC), error proof, and build in quality at the source. He covers methodologies such as Lean Six Sigma (DMAIC), Kaizen, Design for Six Sigma (DMADV), and value stream management (VSM), and shows how to choose the right one for your application. He concludes by sharing implementation best practices to drive the right mindset, behaviors, and results for sustaining operational excellence.",Course,2019-04-28 20:10 UTC,N/A,false,N/A,
Figuring Out Your Next Move,"Many smart and talented people find themselves hitting professional plateaus at various stages in their careers. Rather than seeing this as a problem or personal shortcoming, you can embrace these moments for what they are: a signal that you may be outgrowing your current projects and are ready for something new. In this course, business strategist Jenny Blake outlines her four-stage process for helping ""high-net-growth"" individuals map a pivot plan for growth within their role and look for small experiments outside of it, ultimately to make an even greater impact. Discover how to build on your existing strengths, identify what energizes you most, scan for related people, skills, and projects, and make small changes that will take you closer to your one-year vision of success, starting from right where you already are.",Course,2022-06-20 16:32 UTC,N/A,false,N/A,
Reverse Engineering Foundations: Product Design,"Do you need to work with an older design that predates CAD, or design an accessory for a third-party product? If so, then this course is for you. Join instructor Steven Marjieh as he acquaints you with the fundamentals of reverse engineering, which allows you to infer a model from an object and work with it in your own designs. Learn how to use physical measurement, 3D scanning, and touch probes to measure real-world objects and work with them in your CAD tool of choice. Plus, learn how to best approach the post-processing of scan data, including how to inspect the final parts and verify that they're correct.",Course,2021-01-07 08:45 UTC,N/A,false,N/A,
First Look: Python 3.9,"Python, like any modern language, is always evolving. In this course, instructor Claire Burn dives into Python 3.9, highlighting the new features, improvements, and deprecations packed into this release. Learn about the significant Python Enhancement Proposals (PEPs) included in Python 3.9, as well as how to distinguish which modules are new (and why they are notable). Discover which modules have been deprecated and why this was necessary. Plus, get tips for overcoming common challenges while porting from Python 2 to Python 3.9, or Python 3.x to Python 3.9.",Course,2021-08-19 20:27 UTC,N/A,false,N/A,
NLP with Python for Machine Learning Essential Training,"With the increased amount of data publicly available and the increased focus on unstructured text data, understanding how to clean, process, and analyze that text data is tremendously valuable. If you have some experience with Python and an interest in natural language processing (NLP), this course can provide you with the knowledge you need to tackle complex problems using machine learning. Instructor Derek Jedamski provides a quick summary of basic natural language processing (NLP) concepts, covers advanced data cleaning and vectorization techniques, and then takes a deep dive into building machine learning classifiers. During this last step, Derek shows how to build two different types of machine learning models, as well as how to evaluate and test variations of those models.",Course,2021-02-23 18:18 UTC,N/A,false,N/A,
Python Code Challenges ,"Want to test your Python skills? These concise challenges let you stretch your brain and test your talents. Instructor Barron Stone shares over a dozen Python challenges, as well as his own solutions to each problem—the majority of which are less than two dozen lines of code. You can tackle each problem using the tools in the Python standard library, or opt for the library of your choice. And since each challenge is self-contained, you can complete the course in any order—and at your own pace. Tune in to get the hands-on practice you need to keep your skills sharp.",Course,2021-01-21 10:55 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2021-10-22 19:48 UTC,N/A,false,N/A,
Developing Your Emotional Intelligence,"<div><a href=""https://www.linkedin.com/newsletters/6661628561960558592?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Gemma's LinkedIn Newsletter</a></div><br>Emotional intelligence can help you build effective relationships at work. Executive coach and organizational psychologist Gemma Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build strong and collaborative relationships.",Course,2022-08-27 15:45 UTC,N/A,false,N/A,
Learning SOLIDWORKS CAM,"SOLIDWORKS CAM is a powerful add-on that allows designers to turn models into ready-to-manufacture instructions for computer numerical control (CNC) machines. See how to convert the features of a 3D part into the NC G-code required to machine those features out of a piece of stock on a CNC machine. Instructor Kipp Bradford demonstrates how to identify features in a design for machining, prepare the toolpaths and operations, and generate the output file and setup sheet needed to manufacture parts.<br><br>

Note: This course assumes familiarity with part and assembly modeling in SOLIDWORKS, as well as the fundamentals of CNC setup and operation.",Course,2022-07-21 12:35 UTC,N/A,false,N/A,
What to Do in the First 90 Days of Your New Job,"The first 90 days of a new job are crucial. Your boss will decide if you're the right fit for the job and whether you can deliver results. It's a fun time, but it's also really scary. Aimee Bateman, career expert and founder of Careercake.com, has placed over 4,000 people in their dream jobs. In this course, she breaks down those first 90 days for you, month by month, and outlines the activities you need to perform in order to make a real impact. Learn how to absorb all the new information, impress your boss and get along with your coworkers, and deliver the performance you promised in your interview. Plus, find out what to do if the job's not everything you expected it would be.<br><br>

This course was created by <a href=”https://www.careercake.com/” target=”_blank”>Careercake</a>, the careers content platform. We are pleased to host this training in our library.",Course,2020-03-28 03:09 UTC,N/A,false,N/A,
