OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 000179,16-01-2013,42,Distributor,AXW291,29,7,8,261.30,2090.40,143.72
SO - 000180,17-01-2013,5,Export,AXW291,7,1,5,4006.60,20033.00,2844.69
SO - 000181,17-01-2013,10,Distributor,GUT930,38,5,6,1333.30,7999.80,866.65
SO - 000182,17-01-2013,34,Wholesale,GUT930,46,11,5,167.50,837.50,90.45
SO - 000183,18-01-2013,23,Export,FLR025,61,13,5,3195.90,15979.50,1821.66
SO - 000184,18-01-2013,18,Wholesale,NXH382,56,3,10,1051.90,10519.00,809.96
SO - 000185,19-01-2013,8,Export,AXW291,2,5,9,5447.10,49023.90,3540.62
SO - 000186,19-01-2013,36,Wholesale,GUT930,36,2,8,3182.50,25460.00,1973.15
SO - 000187,19-01-2013,47,Wholesale,FLR025,61,2,5,891.10,4455.50,632.68
SO - 000188,19-01-2013,27,Export,AXW291,29,13,7,3892.70,27248.90,2724.89
SO - 000189,19-01-2013,5,Export,GUT930,45,7,9,3953.00,35577.00,3360.05
SO - 000190,19-01-2013,38,Wholesale,GUT930,34,12,9,924.60,8321.40,545.51
SO - 000191,19-01-2013,21,Distributor,GUT930,34,5,10,3430.40,34304.00,1989.63
SO - 000192,20-01-2013,24,Wholesale,AXW291,31,7,8,1152.40,9219.20,622.30
SO - 000193,20-01-2013,25,Wholesale,AXW291,24,7,5,1085.40,5427.00,922.59
SO - 000194,20-01-2013,11,Wholesale,AXW291,27,7,5,5031.70,25158.50,4025.36
SO - 000195,21-01-2013,17,Wholesale,AXW291,18,7,8,1092.10,8736.80,436.84
SO - 000196,21-01-2013,5,Export,AXW291,4,7,9,187.60,1688.40,144.45
SO - 000197,21-01-2013,30,Export,AXW291,17,14,9,3993.20,35938.80,2835.17
SO - 000198,21-01-2013,9,Export,FLR025,65,5,11,2472.30,27195.30,1433.93
SO - 000199,21-01-2013,47,Wholesale,AXW291,5,13,11,1206.00,13266.00,844.20
SO - 000200,21-01-2013,5,Distributor,AXW291,26,2,11,1728.60,19014.60,985.30
SO - 000201,22-01-2013,23,Wholesale,AXW291,25,1,6,1983.20,11899.20,1447.74
SO - 000202,22-01-2013,14,Wholesale,GUT930,33,7,7,5313.10,37191.70,2656.55
SO - 000203,22-01-2013,44,Export,AXW291,11,9,11,871.00,9581.00,566.15
SO - 000204,22-01-2013,38,Wholesale,GUT930,32,7,6,2532.60,15195.60,2051.41
SO - 000205,22-01-2013,14,Wholesale,AXW291,17,13,8,5916.10,47328.80,4673.72
SO - 000206,22-01-2013,34,Wholesale,GUT930,42,2,7,2887.70,20213.90,1443.85
SO - 000207,22-01-2013,13,Wholesale,GUT930,36,5,7,1855.90,12991.30,1447.60
SO - 000208,22-01-2013,5,Distributor,AXW291,11,5,6,207.70,1246.20,135.01
SO - 000209,23-01-2013,2,Wholesale,FLR025,62,5,6,1058.60,6351.60,772.78
SO - 000210,23-01-2013,17,Wholesale,GUT930,44,13,10,958.10,9581.00,517.37
SO - 000211,23-01-2013,40,Wholesale,GUT930,34,13,9,2659.90,23939.10,1675.74
SO - 000212,23-01-2013,15,Distributor,AXW291,26,2,12,2217.70,26612.40,1707.63
SO - 000213,23-01-2013,12,Wholesale,AXW291,8,13,7,1715.20,12006.40,857.60
SO - 000214,23-01-2013,25,Wholesale,NXH382,52,8,6,3932.90,23597.40,1691.15
SO - 000215,23-01-2013,13,Distributor,AXW291,31,7,5,2546.00,12730.00,1909.50
SO - 000216,24-01-2013,18,Distributor,NXH382,50,7,5,837.50,4187.50,603.00
SO - 000217,24-01-2013,3,Distributor,GUT930,40,11,10,1809.00,18090.00,1302.48
SO - 000218,24-01-2013,25,Distributor,NXH382,55,1,5,857.60,4288.00,514.56
SO - 000219,24-01-2013,11,Export,AXW291,2,9,8,1748.70,13989.60,1101.68
SO - 000220,24-01-2013,44,Distributor,AXW291,14,7,10,1266.30,12663.00,582.50
SO - 000221,24-01-2013,30,Wholesale,AXW291,5,5,11,5058.50,55643.50,3591.54
SO - 000222,25-01-2013,38,Distributor,AXW291,7,9,10,958.10,9581.00,795.22
SO - 000223,25-01-2013,47,Export,AXW291,22,9,11,1802.30,19825.30,756.97
SO - 000224,25-01-2013,17,Wholesale,AXW291,9,11,11,6298.00,69278.00,4534.56
SO - 000225,25-01-2013,28,Wholesale,AXW291,1,11,6,2499.10,14994.60,1824.34
SO - 000226,25-01-2013,5,Wholesale,GUT930,36,2,8,871.00,6968.00,705.51
SO - 000227,25-01-2013,32,Wholesale,GUT930,44,7,6,750.40,4502.40,360.19
SO - 000228,25-01-2013,21,Distributor,GUT930,36,2,5,763.80,3819.00,504.11
SO - 000229,25-01-2013,49,Export,NXH382,55,2,11,844.20,9286.20,565.61
SO - 000230,26-01-2013,6,Wholesale,AXW291,6,2,5,261.30,1306.50,112.36
SO - 000231,26-01-2013,47,Export,AXW291,13,5,8,3999.90,31999.20,2359.94
SO - 000232,26-01-2013,32,Wholesale,GUT930,45,9,7,1112.20,7785.40,811.91
SO - 000233,26-01-2013,18,Wholesale,AXW291,30,11,8,2633.10,21064.80,1843.17
SO - 000234,26-01-2013,8,Distributor,AXW291,24,10,5,1018.40,5092.00,631.41
SO - 000235,26-01-2013,24,Distributor,AXW291,10,1,12,5219.30,62631.60,3444.74
SO - 000236,26-01-2013,11,Export,NXH382,47,7,11,3999.90,43998.90,2359.94
SO - 000237,27-01-2013,50,Wholesale,FLR025,62,1,10,1721.90,17219.00,1084.80
SO - 000238,28-01-2013,7,Wholesale,GUT930,35,5,9,737.00,6633.00,456.94
SO - 000239,28-01-2013,2,Wholesale,AXW291,6,9,9,1219.40,10974.60,695.06
SO - 000240,28-01-2013,18,Wholesale,NXH382,51,1,6,891.10,5346.60,712.88
SO - 000241,28-01-2013,28,Wholesale,AXW291,27,2,12,978.20,11738.40,743.43
SO - 000242,28-01-2013,47,Wholesale,AXW291,31,11,9,3946.30,35516.70,1657.45
SO - 000243,28-01-2013,27,Wholesale,GUT930,33,7,12,1299.80,15597.60,922.86
SO - 000244,28-01-2013,21,Distributor,AXW291,14,7,5,5815.60,29078.00,2791.49
SO - 000245,29-01-2013,43,Distributor,AXW291,22,2,10,1092.10,10921.00,655.26
SO - 000246,29-01-2013,42,Wholesale,AXW291,7,7,7,1072.00,7504.00,643.20
SO - 000247,29-01-2013,34,Wholesale,GUT930,39,9,11,4020.00,44220.00,2653.20
SO - 000248,29-01-2013,37,Wholesale,AXW291,12,7,9,984.90,8864.10,669.73
SO - 000249,29-01-2013,50,Wholesale,FLR025,62,10,12,227.80,2733.60,100.23
SO - 000250,29-01-2013,17,Wholesale,AXW291,7,1,11,3993.20,43925.20,3314.36
SO - 000251,30-01-2013,25,Distributor,AXW291,30,1,10,221.10,2211.00,185.72
SO - 000252,30-01-2013,21,Distributor,AXW291,19,11,9,3356.70,30210.30,2819.63
SO - 000253,30-01-2013,35,Wholesale,NXH382,58,5,6,1701.80,10210.80,1157.22
SO - 000254,30-01-2013,9,Wholesale,NXH382,50,10,5,2566.10,12830.50,2181.19
SO - 000255,31-01-2013,22,Wholesale,AXW291,19,8,12,221.10,2653.20,126.03
SO - 000256,31-01-2013,28,Wholesale,GUT930,45,7,9,1782.20,16039.80,980.21
SO - 000257,31-01-2013,41,Wholesale,AXW291,17,2,10,2003.30,20033.00,801.32
SO - 000258,31-01-2013,28,Wholesale,AXW291,6,7,11,2385.20,26237.20,1502.68
SO - 000259,01-02-2013,22,Wholesale,AXW291,3,9,11,2231.10,24542.10,1784.88
SO - 000260,01-02-2013,26,Wholesale,AXW291,22,1,7,1005.00,7035.00,412.05
SO - 000261,01-02-2013,12,Distributor,NXH382,53,6,12,2693.40,32320.80,1939.25
SO - 000262,01-02-2013,31,Wholesale,AXW291,20,7,8,1105.50,8844.00,652.25
SO - 000263,02-02-2013,25,Distributor,AXW291,16,12,9,1909.50,17185.50,1088.42
SO - 000264,02-02-2013,35,Distributor,GUT930,32,3,8,1118.90,8951.20,850.36
SO - 000265,03-02-2013,45,Wholesale,AXW291,17,2,10,1038.50,10385.00,758.11
SO - 000266,03-02-2013,19,Distributor,AXW291,23,5,6,6324.80,37948.80,4300.86
SO - 000267,03-02-2013,16,Wholesale,AXW291,3,13,6,1005.00,6030.00,502.50
SO - 000268,03-02-2013,15,Distributor,GUT930,32,2,10,1293.10,12931.00,659.48
SO - 000269,03-02-2013,8,Wholesale,AXW291,14,7,5,844.20,4221.00,540.29
SO - 000270,04-02-2013,27,Wholesale,NXH382,58,6,8,247.90,1983.20,195.84
SO - 000271,04-02-2013,12,Wholesale,GUT930,39,1,12,174.20,2090.40,139.36
SO - 000272,04-02-2013,30,Wholesale,NXH382,50,12,9,1025.10,9225.90,707.32
SO - 000273,04-02-2013,19,Export,FLR025,62,1,9,3068.60,27617.40,2301.45
SO - 000274,05-02-2013,44,Distributor,AXW291,22,7,7,241.20,1688.40,115.78
SO - 000275,05-02-2013,24,Distributor,GUT930,36,7,10,174.20,1742.00,139.36
SO - 000276,05-02-2013,10,Export,AXW291,6,13,7,2505.80,17540.60,1804.18
SO - 000277,05-02-2013,35,Wholesale,GUT930,42,11,11,2599.60,28595.60,1637.75
SO - 000278,05-02-2013,38,Export,AXW291,28,2,12,2278.00,27336.00,1503.48
SO - 000279,06-02-2013,31,Wholesale,FLR025,64,13,12,1092.10,13105.20,589.73
SO - 000280,06-02-2013,40,Wholesale,AXW291,8,7,9,1139.00,10251.00,933.98
SO - 000281,06-02-2013,9,Export,FLR025,61,7,11,1675.00,18425.00,1072.00
SO - 000282,06-02-2013,41,Export,GUT930,41,11,7,1011.70,7081.90,687.96
SO - 000283,07-02-2013,11,Wholesale,AXW291,23,6,12,938.00,11256.00,412.72
SO - 000284,08-02-2013,48,Distributor,AXW291,10,5,10,2566.10,25661.00,1052.10
SO - 000285,08-02-2013,4,Wholesale,GUT930,32,2,12,871.00,10452.00,374.53
SO - 000286,09-02-2013,4,Wholesale,AXW291,15,1,9,2485.70,22371.30,1789.70
SO - 000287,09-02-2013,40,Distributor,FLR025,66,6,9,2345.00,21105.00,1922.90
SO - 000288,09-02-2013,19,Distributor,AXW291,9,9,12,1118.90,13426.80,749.66
SO - 000289,10-02-2013,24,Wholesale,AXW291,2,2,7,1996.60,13976.20,1397.62
SO - 000290,10-02-2013,6,Distributor,AXW291,23,2,6,710.20,4261.20,390.61
SO - 000291,10-02-2013,6,Export,GUT930,37,10,6,3979.80,23878.80,1790.91
SO - 000292,10-02-2013,9,Distributor,FLR025,61,11,6,1025.10,6150.60,440.79
SO - 000293,10-02-2013,3,Distributor,GUT930,36,7,8,2519.20,20153.60,1309.98
SO - 000294,10-02-2013,36,Wholesale,AXW291,27,11,8,5031.70,40253.60,3471.87
SO - 000295,10-02-2013,27,Wholesale,NXH382,56,6,10,1829.10,18291.00,768.22
SO - 000296,11-02-2013,29,Wholesale,NXH382,55,11,11,1072.00,11792.00,900.48
SO - 000297,11-02-2013,11,Wholesale,GUT930,45,1,10,2539.30,25393.00,1828.30
SO - 000298,11-02-2013,24,Distributor,NXH382,48,13,8,3899.40,31195.20,2027.69
SO - 000299,11-02-2013,38,Wholesale,FLR025,66,5,7,5045.10,35315.70,3380.22
SO - 000300,11-02-2013,38,Wholesale,AXW291,23,11,11,1005.00,11055.00,522.60
SO - 000301,11-02-2013,20,Wholesale,GUT930,33,2,11,2438.80,26826.80,1219.40
SO - 000302,12-02-2013,46,Distributor,AXW291,28,7,6,3336.60,20019.60,2035.33
SO - 000303,12-02-2013,38,Wholesale,GUT930,46,5,6,1098.80,6592.80,857.06
SO - 000304,12-02-2013,5,Wholesale,AXW291,12,2,11,1902.80,20930.80,970.43
SO - 000305,12-02-2013,32,Wholesale,AXW291,28,1,11,3477.30,38250.30,2190.70
SO - 000306,12-02-2013,36,Distributor,GUT930,36,7,10,2599.60,25996.00,1481.77
SO - 000307,12-02-2013,1,Wholesale,NXH382,54,10,12,1078.70,12944.40,506.99
SO - 000308,12-02-2013,22,Distributor,GUT930,36,2,11,1045.20,11497.20,533.05
SO - 000309,12-02-2013,21,Export,AXW291,29,7,11,1125.60,12381.60,787.92
SO - 000310,12-02-2013,14,Export,GUT930,34,7,12,1105.50,13266.00,762.80
SO - 000311,12-02-2013,50,Export,AXW291,16,9,10,2606.30,26063.00,1668.03
SO - 000312,13-02-2013,41,Wholesale,GUT930,41,5,7,227.80,1594.60,95.68
SO - 000313,13-02-2013,35,Wholesale,GUT930,33,11,8,167.50,1340.00,123.95
SO - 000314,13-02-2013,21,Wholesale,GUT930,45,1,6,1145.70,6874.20,538.48
SO - 000315,13-02-2013,37,Wholesale,NXH382,59,7,7,2599.60,18197.20,2157.67
SO - 000316,13-02-2013,14,Wholesale,AXW291,25,7,5,3939.60,19698.00,1969.80
SO - 000317,13-02-2013,18,Distributor,AXW291,20,7,6,2881.00,17286.00,1584.55
SO - 000318,13-02-2013,22,Distributor,AXW291,20,5,8,3852.50,30820.00,2003.30
SO - 000319,13-02-2013,48,Export,AXW291,10,13,7,1139.00,7973.00,546.72
SO - 000320,14-02-2013,7,Distributor,GUT930,35,13,8,2519.20,20153.60,2040.55
SO - 000321,14-02-2013,33,Distributor,AXW291,15,2,12,1192.60,14311.20,703.63
SO - 000322,14-02-2013,18,Wholesale,GUT930,39,5,11,2412.00,26532.00,1013.04
SO - 000323,14-02-2013,6,Wholesale,AXW291,24,7,9,2479.00,22311.00,2057.57
SO - 000324,14-02-2013,10,Wholesale,NXH382,58,1,10,1956.40,19564.00,1330.35
SO - 000325,15-02-2013,4,Wholesale,GUT930,32,11,9,1078.70,9708.30,722.73
SO - 000326,15-02-2013,22,Wholesale,AXW291,13,2,11,1212.70,13339.70,945.91
SO - 000327,15-02-2013,48,Distributor,GUT930,46,1,7,978.20,6847.40,821.69
SO - 000328,15-02-2013,28,Distributor,NXH382,50,5,10,174.20,1742.00,120.20
SO - 000329,16-02-2013,25,Wholesale,GUT930,41,7,5,1125.60,5628.00,630.34
SO - 000330,16-02-2013,49,Distributor,NXH382,52,1,8,1065.30,8522.40,468.73
SO - 000331,16-02-2013,11,Distributor,AXW291,11,7,8,3892.70,31141.60,2724.89
SO - 000332,16-02-2013,19,Wholesale,NXH382,54,5,5,207.70,1038.50,120.47
SO - 000333,16-02-2013,20,Wholesale,AXW291,14,2,8,1185.90,9487.20,948.72
SO - 000334,16-02-2013,15,Export,FLR025,64,13,11,2586.20,28448.20,1629.31
SO - 000335,17-02-2013,26,Wholesale,AXW291,5,1,10,2579.50,25795.00,1960.42
SO - 000336,17-02-2013,7,Distributor,AXW291,5,7,8,6378.40,51027.20,2806.50
SO - 000337,17-02-2013,26,Wholesale,NXH382,53,13,6,3008.30,18049.80,2226.14
SO - 000338,17-02-2013,49,Wholesale,AXW291,26,5,8,1755.40,14043.20,930.36
SO - 000339,17-02-2013,28,Wholesale,AXW291,31,7,8,1139.00,9112.00,740.35
SO - 000340,17-02-2013,46,Distributor,AXW291,8,5,7,6157.30,43101.10,4556.40
SO - 000341,17-02-2013,33,Export,AXW291,8,14,12,2231.10,26773.20,1093.24
SO - 000342,17-02-2013,23,Wholesale,AXW291,12,1,9,2479.00,22311.00,1859.25
SO - 000343,17-02-2013,35,Wholesale,AXW291,4,1,11,6391.80,70309.80,4793.85
SO - 000344,17-02-2013,4,Export,NXH382,48,14,8,1139.00,9112.00,660.62
SO - 000345,18-02-2013,38,Wholesale,GUT930,36,7,8,2586.20,20689.60,1681.03
SO - 000346,18-02-2013,36,Wholesale,GUT930,38,11,5,3899.40,19497.00,1871.71
SO - 000347,19-02-2013,25,Distributor,AXW291,15,1,9,951.40,8562.60,599.38
SO - 000348,19-02-2013,8,Distributor,GUT930,31,14,9,5607.90,50471.10,3476.90
SO - 000349,19-02-2013,12,Export,NXH382,50,13,8,1165.80,9326.40,827.72
SO - 000350,19-02-2013,17,Distributor,NXH382,50,1,12,1949.70,23396.40,1520.77
SO - 000351,19-02-2013,40,Distributor,AXW291,27,6,9,3685.00,33165.00,2690.05
SO - 000352,20-02-2013,3,Wholesale,FLR025,60,13,8,2633.10,21064.80,1816.84
SO - 000353,20-02-2013,26,Wholesale,NXH382,50,7,6,1072.00,6432.00,460.96
SO - 000354,20-02-2013,38,Distributor,AXW291,6,11,10,3537.60,35376.00,1910.30
SO - 000355,20-02-2013,41,Distributor,GUT930,42,5,11,1092.10,12013.10,622.50
SO - 000356,21-02-2013,17,Wholesale,NXH382,48,2,9,1748.70,15738.30,1136.66
SO - 000357,22-02-2013,49,Wholesale,AXW291,2,2,8,891.10,7128.80,739.61
SO - 000358,22-02-2013,41,Wholesale,AXW291,29,2,5,3082.00,15410.00,1510.18
SO - 000359,22-02-2013,34,Wholesale,AXW291,27,5,5,1125.60,5628.00,776.66
SO - 000360,22-02-2013,46,Wholesale,AXW291,19,13,9,1252.90,11276.10,651.51
SO - 000361,22-02-2013,44,Distributor,FLR025,66,1,11,837.50,9212.50,527.63
SO - 000362,22-02-2013,21,Wholesale,NXH382,53,13,10,1031.80,10318.00,773.85
SO - 000363,22-02-2013,7,Wholesale,GUT930,46,1,10,2385.20,23852.00,1454.97
SO - 000364,23-02-2013,48,Distributor,AXW291,28,7,8,1802.30,14418.40,1153.47
SO - 000365,23-02-2013,40,Distributor,NXH382,49,2,5,1018.40,5092.00,753.62
SO - 000366,23-02-2013,35,Wholesale,AXW291,19,14,10,3946.30,39463.00,1815.30
SO - 000367,23-02-2013,21,Distributor,AXW291,24,7,6,3953.00,23718.00,2095.09
SO - 000368,24-02-2013,1,Wholesale,AXW291,29,7,10,5098.70,50987.00,3416.13
SO - 000369,24-02-2013,9,Export,FLR025,63,2,11,3758.70,41345.70,1954.52
SO - 000370,24-02-2013,9,Distributor,AXW291,9,2,5,911.20,4556.00,610.50
SO - 000371,25-02-2013,26,Wholesale,GUT930,43,2,8,904.50,7236.00,379.89
SO - 000372,25-02-2013,21,Wholesale,AXW291,23,6,10,911.20,9112.00,410.04
SO - 000373,25-02-2013,6,Wholesale,AXW291,7,7,10,227.80,2278.00,134.40
SO - 000374,25-02-2013,14,Distributor,AXW291,13,5,5,254.60,1273.00,117.12
SO - 000375,25-02-2013,33,Wholesale,AXW291,6,2,11,683.40,7517.40,444.21
SO - 000376,25-02-2013,43,Wholesale,AXW291,29,2,7,3919.50,27436.50,2234.12
SO - 000377,25-02-2013,25,Distributor,FLR025,64,2,10,1092.10,10921.00,786.31
SO - 000378,25-02-2013,10,Wholesale,GUT930,36,11,11,924.60,10170.60,536.27
SO - 000379,25-02-2013,45,Distributor,GUT930,33,7,5,1018.40,5092.00,794.35
SO - 000380,26-02-2013,19,Distributor,FLR025,65,1,5,1788.90,8944.50,1305.90
SO - 000381,26-02-2013,17,Distributor,AXW291,15,7,11,944.70,10391.70,538.48
SO - 000382,26-02-2013,39,Distributor,AXW291,26,6,6,3959.70,23758.20,2573.81
SO - 000383,27-02-2013,11,Distributor,AXW291,27,9,12,167.50,2010.00,70.35
SO - 000384,27-02-2013,23,Export,AXW291,19,2,8,3872.60,30980.80,1975.03
SO - 000385,27-02-2013,12,Distributor,GUT930,34,4,5,6539.20,32696.00,3858.13
SO - 000386,28-02-2013,44,Wholesale,AXW291,10,1,6,1025.10,6150.60,779.08
SO - 000387,28-02-2013,31,Wholesale,GUT930,35,11,5,938.00,4690.00,572.18
SO - 000388,28-02-2013,19,Distributor,FLR025,64,9,11,1045.20,11497.20,804.80
SO - 000389,28-02-2013,20,Export,GUT930,37,11,9,167.50,1507.50,112.23
SO - 000390,28-02-2013,44,Distributor,FLR025,61,13,5,1721.90,8609.50,1377.52
SO - 000391,28-02-2013,30,Wholesale,GUT930,44,1,8,676.70,5413.60,466.92
SO - 000392,28-02-2013,47,Wholesale,AXW291,30,1,12,167.50,2010.00,82.08
SO - 000393,28-02-2013,26,Distributor,GUT930,46,13,10,1118.90,11189.00,895.12
SO - 000394,28-02-2013,17,Distributor,AXW291,5,13,6,1139.00,6834.00,933.98
SO - 000395,28-02-2013,44,Wholesale,NXH382,50,4,5,1748.70,8743.50,751.94
SO - 000396,01-03-2013,13,Distributor,NXH382,47,2,11,1728.60,19014.60,1140.88
SO - 000397,01-03-2013,13,Distributor,GUT930,33,13,5,1112.20,5561.00,500.49
